Year,Host_City,Host_Country,Country,M_Total,Men,Women,P_Total,Population,Latitude,Longtitude,Participation.Population,Discipline,Age,Country.1,Gender,Category,Count_Medal
1960,Rome,Italy,Argentina,6,5,4,9,45267449,-38.416097,-63.616672,13.25455738,Judo,31,Mongolia,Male,Gold,2
1960,Rome,Italy,Argentina,6,5,4,9,45267449,-38.416097,-63.616672,13.25455738,Judo,31,Mongolia,Male,Silver,3
1960,Rome,Italy,Argentina,6,5,4,9,45267449,-38.416097,-63.616672,13.25455738,Judo,31,Mongolia,Male,Bronze,1
1960,Rome,Italy,Australia,10,10,1,11,25550683,-25.274398,133.775136,28.70112448,Swimming,36,Chile,Male,Gold,3
1960,Rome,Italy,Australia,10,10,1,11,25550683,-25.274398,133.775136,28.70112448,Swimming,36,Chile,Male,Silver,6
1960,Rome,Italy,Australia,10,10,1,11,25550683,-25.274398,133.775136,28.70112448,Swimming,36,Chile,Male,Bronze,1
1960,Rome,Italy,Austria,30,12,7,19,9015361,47.516231,14.550072,140.5009369,Judo,23,Azerbaijan,Male,Gold,11
1960,Rome,Italy,Austria,30,12,7,19,9015361,47.516231,14.550072,140.5009369,Judo,23,Azerbaijan,Male,Silver,8
1960,Rome,Italy,Austria,30,12,7,19,9015361,47.516231,14.550072,140.5009369,Judo,23,Azerbaijan,Male,Bronze,11
1960,Rome,Italy,Belgium,3,10,2,12,11598451,50.503887,4.469936,68.97472775,Wheelchair Basketball,43,Algeria,Male,Gold,1
1960,Rome,Italy,Belgium,3,10,2,12,11598451,50.503887,4.469936,68.97472775,Wheelchair Basketball,43,Algeria,Male,Silver,1
1960,Rome,Italy,Belgium,3,10,2,12,11598451,50.503887,4.469936,68.97472775,Wheelchair Basketball,43,Algeria,Male,Bronze,1
1960,Rome,Italy,Finland,1,1,0,1,5542237,61.92411,25.748151,12.02883721,Wheelchair Basketball,34,Algeria,Male,Gold,1
1960,Rome,Italy,Finland,1,1,0,1,5542237,61.92411,25.748151,12.02883721,Wheelchair Basketball,34,Algeria,Male,Silver,0
1960,Rome,Italy,Finland,1,1,0,1,5542237,61.92411,25.748151,12.02883721,Wheelchair Basketball,34,Algeria,Male,Bronze,0
1960,Rome,Italy,France,7,10,1,11,65298930,46.227638,2.213749,11.23040352,Sitting Volleyball,46,Egypt,Male,Gold,3
